低楼层(共34层),1994年,3室1厅,84.31平米,西南,荟芳园,465,5.515359981022417,84.31
低楼层(共31层),2013年,3室2厅,45.06平米,南,阳光里,450,9.986684420772303,45.06
低楼层(共31层),2013年,3室1厅,45.51平米,东,阳光里,420,9.22874093605801,45.51
中楼层(共15层),2009年,3室1厅,49.19平米,南,雷圳碧榕湾海景花园,458,9.310835535677985,49.19
低楼层(共24层),1993年,3室1厅,72.74平米,西北,钜建大厦,400,5.499037668408029,72.74
中楼层(共26层),2018年,3室2厅,62.32平米,东南,前海枫叶大厦,400,6.418485237483954,62.32
高楼层(共33层),2004年,3室2厅,105.9平米,南,现代城华庭,620,5.854579792256846,105.9
高楼层(共33层),2004年,3室2厅,105.95平米,东南,现代城华庭,650,6.134969325153374,105.95
中楼层(共33层),2004年,3室2厅,79.59平米,东北,现代城华庭,560,7.036059806508355,79.59
中楼层(共33层),2002年,3室1厅,87.71平米,西南,万象新园,600,6.840725116862388,87.71
中楼层(共33层),2004年,3室2厅,125.87平米,东北,现代城华庭,700,5.561293397950266,125.87
高楼层(共33层),2004年,3室2厅,105.98平米,西南,现代城华庭,680,6.416304963200604,105.98
高楼层(共32层),2002年,3室1厅,78.46平米,东,万象新园,555,7.073668111139435,78.46
高楼层(共33层),2004年,3室2厅,105.98平米,南,现代城华庭,688,6.49179090394414,105.98
高楼层(共33层),2004年,3室2厅,81.62平米,东南,现代城华庭,610,7.473658417054643,81.62
低楼层(共32层),2002年,3室2厅,84.9平米,东北,万象新园,568,6.6902237926972905,84.9
中楼层(共33层),2004年,3室2厅,118.77平米,南,现代城华庭,692,5.82638713479835,118.77
高楼层(共33层),2002年,3室1厅,102.44平米,西北,万象新园,628,6.13041780554471,102.44
中楼层(共33层),2002年,3室2厅,99.98平米,西南,万象新园,588,5.881176235247049,99.98
中楼层(共33层),2002年,3室2厅,87.71平米,东南,万象新园,560,6.384676775738229,87.71
高楼层(共32层),2002年,3室1厅,84.59平米,东北,万象新园,588,6.9511762619695,84.59
低楼层(共33层),2002年,3室1厅,87.71平米,西南,万象新园,600,6.840725116862388,87.71
中楼层(共21层),1999年,3室2厅,91.52平米,西,海典居,580,6.3374125874125875,91.52
低楼层(共21层),1999年,3室2厅,104.38平米,东,海典居,599,5.738647250431117,104.38
中楼层(共23层),1995年,3室1厅,97.06平米,南,荔园大厦,550,5.666597980630538,97.06
低楼层(共19层),2000年,3室2厅,101.09平米,东南,中海丽苑,630,6.23207043228806,101.09
高楼层(共26层),2002年,3室2厅,90.59平米,南,东方海雅居,616,6.799867535048018,90.59
低楼层(共19层),2000年,3室1厅,101平米,南,中海丽苑,630,6.237623762376238,101.0
高楼层(共31层),1998年,3室2厅,118.76平米,南,鹏都大厦,630,5.30481643651061,118.76
高楼层(共18层),1999年,3室2厅,120.49平米,南,天源大厦,610,5.062660801726285,120.49
低楼层(共9层),1998年,3室2厅,71.94平米,北,南新苑,430,5.977203224909647,71.94
低楼层(共28层),1996年,3室2厅,86.68平米,西北,康乐大厦,450,5.191508998615597,86.68
高楼层(共31层),2011年,3室2厅,66.72平米,西,向南瑞峰花园,520,7.793764988009593,66.72
高楼层(共9层),1997年,3室2厅,112.88平米,南,南新苑,690,6.112686038270731,112.88
低楼层(共32层),2000年,3室1厅,116.59平米,西南,怡园大厦,540,4.6316150613260145,116.59
高楼层(共14层),2007年,3室1厅,58.67平米,南,美丽湾国际公寓,530,9.033577637634226,58.67
低楼层(共26层),2002年,3室2厅,77.36平米,东南,东方海雅居,548,7.083764219234746,77.36
中楼层(共23层),1995年,3室2厅,97.06平米,南,荔园大厦,480,4.9453946012775605,97.06
高楼层(共26层),2009年,3室1厅,66.45平米,东,向南海德大厦,480,7.223476297968397,66.45
低楼层(共11层),2003年,3室1厅,74.87平米,西,海岸明珠园,690,9.21597435554962,74.87
